Country/Region,Latitude,Longitude
Afghanistan,33,65
Albania,41,20
Algeria,28,2
Andorra,42,1.5
Angola,-12,18
Antigua and Barbuda,17,-62
Lesotho,-29,28
Comoros,-12,44
Tajikistan,39,71
Yemen,15,44
Sao Tome and Principe,1,7
South Sudan,8,30
Western Sahara,25,-13
Malawi,-14,34
Burundi,-4,30
Sierra Leone,8,-13
Botswana,-25,26
Burma,22,96
West Bank and Gaza,32,35
Guinea-Bissau,12,-15
Mali,18,-4
Saint Kitts and Nevis,17,-63
Laos,18,105
Libya,26,17
Belize,17,-89
Dominica,15,-61
Grenada,12,-62
Mozambique,-19,36
Syria,35,39
East Timor,-9,126
Eritrea,15,40
Uganda,1,32
Cape Verde,16.5,-23
Haiti,19,-72
Madagascar,-19,47
Niger,18,8
Papua New Guinea,-6,144
Zimbabwe,-19,29
Chad,15,19
El Salvador,14,-89
Fiji,-18,178
Nicaragua,13,-85
Djibouti,12,43
Kyrgyzstan,41,75
Mauritius,-20,58
Zambia,-13,28
Barbados,13,-60
Gambia,13,-15
Montenegro,43,19
Bahamas,25,-78
Benin,9,2
Liberia,6,-9
Somalia,5,46
Tanzania,-6,35
Central African Republic,7,21
Equatorial Guinea,2,10
Kosovo,43,21
Uzbekistan,41,65
Eswatini,-27,31
Gabon,-1,12
Ghana,7.94,-1
Guatemala,16,-90
Mauritania,21,-11
Namibia,-23,19
Rwanda,-2,30
Saint Lucia,14,-61
Saint Vincent and the Grenadines,13,-61
Seychelles,-5,56
Suriname,4,-56
Trinidad and Tobago,11,-61
Uruguay,-33,-56
Venezuela,6,-67
Ethiopia,9,40
Guinea,10,-10
Kazakhstan,48,67
Kenya,0,38
Sudan,13,30
Cuba,22,-78
Guyana,5,-59
Bolivia,-16,-64
Congo,-4,38
Cruise Ship,0,0
Honduras,15,-86
Jamaica,18,-77
Turkey,39,35
Burkina Faso,12,-2
Holy See,42,12
Mongolia,47,104
Panama,9,-81
Brunei,5,115
Cyprus,35,33
Bangladesh,24,90
Bulgaria,43,25
Maldives,3,73
Moldova,47,28
Paraguay,-23,-58
Malta,36,14
Bhutan,28,90
Cameroon,4,12
Costa Rica,10,-84
Peru,-10,-76
Serbia,44,21
Slovakia,49,20
Togo,9,1
Bosnia and Herzegovina,44,18
Slovenia,46,15
South Africa,-31,23
Hungary,47,20
Liechtenstein,47,10
Poland,52,19
Tunisia,34,10
Argentina,-34,-64
Chile,-34,-71
Jordan,31,37
Ukraine,49,32
Indonesia,-1,114
Latvia,57,25
Morocco,32,-7
Portugal,39,-8
Saudi Arabia,24,45
Senegal,15,-14
Armenia,40,45
Czech Republic,50,16
Dominican Republic,19,-70
Ecuador,-2,-78
Ireland,53,-8
Luxembourg,50,6
Monaco,43.73,7.42
Qatar,25.35,51
Azerbaijan,40,48
Belarus,54,28
Iceland,65,-19
Lithuania,55,24
New Zealand,-41,175
Nigeria,9,9
Denmark,56,10
Estonia,59,26
Netherlands,52,6
San Marino,44,12
Georgia,42,43
Greece,39,22
North Macedonia,41.61,21.75
Norway,60,9
Pakistan,30,70
Romania,46,25
Austria,48,14
Croatia,45,15
Switzerland,47,8
Bahrain,26,51
Kuwait,29,48
Oman,22,56
Iraq,33,44
Israel,31,35
Lebanon,34,36
Iran,32,54
Egypt,27,31
Belgium,51,5
Spain,40,-4
Italy,43,12
Russia,60,90
Sweden,63,16
United Kingdom,55,0
India,21,78
Finland,62,26
United Arab Emirates,23,54
Germany,51,9
Cambodia,12,105
Ivory Coast,8,-6
Sri Lanka,8,81
Canada,60,-110
Nepal,28,84
France,47,2
Australia,-25,133
Brazil,-10,-52
Colombia,4,-72
Malaysia,4,102
Mexico,23,-102
Philippines,13,122
Singapore,1,104
Vietnam,14,108
China,35,103
Japan,36,138
South Korea,36,128
Taiwan,24,121
Thailand,16,101
US,40,-90
